PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,age_group
33,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
34,0,2,male,66,0,0,10.5,Southampton,0,60-69
35,0,1,male,28,1,0,82.1708,Cherbourg,1,20-29
36,0,1,male,42,1,0,52,Southampton,1,40-49
37,1,3,male,26.50758893,0,0,7.2292,Cherbourg,0,20-29
38,0,3,male,21,0,0,8.05,Southampton,0,20-29
39,0,3,female,18,2,0,18,Southampton,2,19-Oct
40,1,3,female,14,1,0,11.2417,Cherbourg,1,19-Oct
41,0,3,female,40,1,0,9.475,Southampton,1,40-49
42,0,2,female,27,1,0,21,Southampton,1,20-29
43,0,3,male,26.50758893,0,0,7.8958,Cherbourg,0,20-29
44,1,2,female,3,1,2,41.5792,Cherbourg,3,0-9
45,1,3,female,19,0,0,7.8792,Queenstown,0,19-Oct
46,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
47,0,3,male,26.50758893,1,0,15.5,Queenstown,1,20-29
48,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
49,0,3,male,26.50758893,2,0,21.6792,Cherbourg,2,20-29
50,0,3,female,18,1,0,17.8,Southampton,1,19-Oct
51,0,3,male,7,4,1,39.6875,Southampton,5,0-9
52,0,3,male,21,0,0,7.8,Southampton,0,20-29
53,1,1,female,49,1,0,76.7292,Cherbourg,1,40-49
54,1,2,female,29,1,0,26,Southampton,1,20-29
55,0,1,male,65,0,1,61.9792,Cherbourg,1,60-69
56,1,1,male,41.28138614,0,0,35.5,Southampton,0,40-49
57,1,2,female,21,0,0,10.5,Southampton,0,20-29
58,0,3,male,28.5,0,0,7.2292,Cherbourg,0,20-29
59,1,2,female,5,1,2,27.75,Southampton,3,0-9
60,0,3,male,11,5,2,46.9,Southampton,7,19-Oct
61,0,3,male,22,0,0,7.2292,Cherbourg,0,20-29
62,1,1,female,38,0,0,80,Southampton,0,30-39
63,0,1,male,45,1,0,83.475,Southampton,1,40-49
64,0,3,male,4,3,2,27.9,Southampton,5,0-9
65,0,1,male,41.28138614,0,0,27.7208,Cherbourg,0,40-49
66,1,3,male,26.50758893,1,1,15.2458,Cherbourg,2,20-29
67,1,2,female,29,0,0,10.5,Southampton,0,20-29
68,0,3,male,19,0,0,8.1583,Southampton,0,19-Oct
69,1,3,female,17,4,2,7.925,Southampton,6,19-Oct
70,0,3,male,26,2,0,8.6625,Southampton,2,20-29
71,0,2,male,32,0,0,10.5,Southampton,0,30-39
72,0,3,female,16,5,2,46.9,Southampton,7,19-Oct
73,0,2,male,21,0,0,73.5,Southampton,0,20-29
74,0,3,male,26,1,0,14.4542,Cherbourg,1,20-29
75,1,3,male,32,0,0,56.4958,Southampton,0,30-39
76,0,3,male,25,0,0,7.65,Southampton,0,20-29
77,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
78,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
79,1,2,male,0.83,0,2,29,Southampton,2,0-9
80,1,3,female,30,0,0,12.475,Southampton,0,30-39
81,0,3,male,22,0,0,9,Southampton,0,20-29
82,1,3,male,29,0,0,9.5,Southampton,0,20-29
83,1,3,female,21.75,0,0,7.7875,Queenstown,0,20-29
84,0,1,male,28,0,0,47.1,Southampton,0,20-29
85,1,2,female,17,0,0,10.5,Southampton,0,19-Oct
86,1,3,female,33,3,0,15.85,Southampton,3,30-39
87,0,3,male,16,1,3,34.375,Southampton,4,19-Oct
88,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
89,1,1,female,23,3,2,263,Southampton,5,20-29
90,0,3,male,24,0,0,8.05,Southampton,0,20-29
91,0,3,male,29,0,0,8.05,Southampton,0,20-29
92,0,3,male,20,0,0,7.8542,Southampton,0,20-29
93,0,1,male,46,1,0,61.175,Southampton,1,40-49
94,0,3,male,26,1,2,20.575,Southampton,3,20-29
95,0,3,male,59,0,0,7.25,Southampton,0,50-59
96,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
97,0,1,male,71,0,0,34.6542,Cherbourg,0,70-79
98,1,1,male,23,0,1,63.3583,Cherbourg,1,20-29
99,1,2,female,34,0,1,23,Southampton,1,30-39
100,0,2,male,34,1,0,26,Southampton,1,30-39
101,0,3,female,28,0,0,7.8958,Southampton,0,20-29
102,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
103,0,1,male,21,0,1,77.2875,Southampton,1,20-29
104,0,3,male,33,0,0,8.6542,Southampton,0,30-39
105,0,3,male,37,2,0,7.925,Southampton,2,30-39
106,0,3,male,28,0,0,7.8958,Southampton,0,20-29
107,1,3,female,21,0,0,7.65,Southampton,0,20-29
108,1,3,male,26.50758893,0,0,7.775,Southampton,0,20-29
109,0,3,male,38,0,0,7.8958,Southampton,0,30-39
110,1,3,female,21.75,1,0,24.15,Queenstown,1,20-29
111,0,1,male,47,0,0,52,Southampton,0,40-49
112,0,3,female,14.5,1,0,14.4542,Cherbourg,1,19-Oct
113,0,3,male,22,0,0,8.05,Southampton,0,20-29
114,0,3,female,20,1,0,9.825,Southampton,1,20-29
115,0,3,female,17,0,0,14.4583,Cherbourg,0,19-Oct
116,0,3,male,21,0,0,7.925,Southampton,0,20-29
117,0,3,male,70.5,0,0,7.75,Queenstown,0,70-79
118,0,2,male,29,1,0,21,Southampton,1,20-29
119,0,1,male,24,0,1,247.5208,Cherbourg,1,20-29
120,0,3,female,2,4,2,31.275,Southampton,6,0-9
121,0,2,male,21,2,0,73.5,Southampton,2,20-29
122,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
123,0,2,male,32.5,1,0,30.0708,Cherbourg,1,30-39
124,1,2,female,32.5,0,0,13,Southampton,0,30-39
125,0,1,male,54,0,1,77.2875,Southampton,1,50-59
126,1,3,male,12,1,0,11.2417,Cherbourg,1,19-Oct
127,0,3,male,26.50758893,0,0,7.75,Queenstown,0,20-29
128,1,3,male,24,0,0,7.1417,Southampton,0,20-29
129,1,3,female,21.75,1,1,22.3583,Cherbourg,2,20-29
130,0,3,male,45,0,0,6.975,Southampton,0,40-49
131,0,3,male,33,0,0,7.8958,Cherbourg,0,30-39
132,0,3,male,20,0,0,7.05,Southampton,0,20-29
133,0,3,female,47,1,0,14.5,Southampton,1,40-49
134,1,2,female,29,1,0,26,Southampton,1,20-29
135,0,2,male,25,0,0,13,Southampton,0,20-29
136,0,2,male,23,0,0,15.0458,Cherbourg,0,20-29
137,1,1,female,19,0,2,26.2833,Southampton,2,19-Oct
138,0,1,male,37,1,0,53.1,Southampton,1,30-39
139,0,3,male,16,0,0,9.2167,Southampton,0,19-Oct
140,0,1,male,24,0,0,79.2,Cherbourg,0,20-29
141,0,3,female,21.75,0,2,15.2458,Cherbourg,2,20-29
142,1,3,female,22,0,0,7.75,Southampton,0,20-29
143,1,3,female,24,1,0,15.85,Southampton,1,20-29
144,0,3,male,19,0,0,6.75,Queenstown,0,19-Oct
145,0,2,male,18,0,0,11.5,Southampton,0,19-Oct
146,0,2,male,19,1,1,36.75,Southampton,2,19-Oct
147,1,3,male,27,0,0,7.7958,Southampton,0,20-29
148,0,3,female,9,2,2,34.375,Southampton,4,0-9
149,0,2,male,36.5,0,2,26,Southampton,2,30-39
150,0,2,male,42,0,0,13,Southampton,0,40-49
151,0,2,male,51,0,0,12.525,Southampton,0,50-59
152,1,1,female,22,1,0,66.6,Southampton,1,20-29
153,0,3,male,55.5,0,0,8.05,Southampton,0,50-59
154,0,3,male,40.5,0,2,14.5,Southampton,2,40-49
155,0,3,male,26.50758893,0,0,7.3125,Southampton,0,20-29
156,0,1,male,51,0,1,61.3792,Cherbourg,1,50-59
157,1,3,female,16,0,0,7.7333,Queenstown,0,19-Oct
158,0,3,male,30,0,0,8.05,Southampton,0,30-39
159,0,3,male,26.50758893,0,0,8.6625,Southampton,0,20-29
160,0,3,male,26.50758893,8,2,69.55,Southampton,10,20-29
161,0,3,male,44,0,1,16.1,Southampton,1,40-49
162,1,2,female,40,0,0,15.75,Southampton,0,40-49
163,0,3,male,26,0,0,7.775,Southampton,0,20-29
164,0,3,male,17,0,0,8.6625,Southampton,0,19-Oct
165,0,3,male,1,4,1,39.6875,Southampton,5,0-9
166,1,3,male,9,0,2,20.525,Southampton,2,0-9
167,1,1,female,34.61176471,0,1,55,Southampton,1,30-39
168,0,3,female,45,1,4,27.9,Southampton,5,40-49
169,0,1,male,41.28138614,0,0,25.925,Southampton,0,40-49
170,0,3,male,28,0,0,56.4958,Southampton,0,20-29
171,0,1,male,61,0,0,33.5,Southampton,0,60-69
172,0,3,male,4,4,1,29.125,Queenstown,5,0-9
173,1,3,female,1,1,1,11.1333,Southampton,2,0-9
174,0,3,male,21,0,0,7.925,Southampton,0,20-29
175,0,1,male,56,0,0,30.6958,Cherbourg,0,50-59
176,0,3,male,18,1,1,7.8542,Southampton,2,19-Oct
177,0,3,male,26.50758893,3,1,25.4667,Southampton,4,20-29
178,0,1,female,50,0,0,28.7125,Cherbourg,0,50-59
179,0,2,male,30,0,0,13,Southampton,0,30-39
180,0,3,male,36,0,0,0,Southampton,0,30-39
181,0,3,female,21.75,8,2,69.55,Southampton,10,20-29
182,0,2,male,30.74070707,0,0,15.05,Cherbourg,0,30-39
183,0,3,male,9,4,2,31.3875,Southampton,6,0-9
184,1,2,male,1,2,1,39,Southampton,3,0-9
185,1,3,female,4,0,2,22.025,Southampton,2,0-9
186,0,1,male,41.28138614,0,0,50,Southampton,0,40-49
187,1,3,female,21.75,1,0,15.5,Queenstown,1,20-29
188,1,1,male,45,0,0,26.55,Southampton,0,40-49
189,0,3,male,40,1,1,15.5,Queenstown,2,40-49
190,0,3,male,36,0,0,7.8958,Southampton,0,30-39
191,1,2,female,32,0,0,13,Southampton,0,30-39
192,0,2,male,19,0,0,13,Southampton,0,19-Oct
193,1,3,female,19,1,0,7.8542,Southampton,1,19-Oct
194,1,2,male,3,1,1,26,Southampton,2,0-9
195,1,1,female,44,0,0,27.7208,Cherbourg,0,40-49
196,1,1,female,58,0,0,146.5208,Cherbourg,0,50-59
197,0,3,male,26.50758893,0,0,7.75,Queenstown,0,20-29
198,0,3,male,42,0,1,8.4042,Southampton,1,40-49
199,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
200,0,2,female,24,0,0,13,Southampton,0,20-29
201,0,3,male,28,0,0,9.5,Southampton,0,20-29
202,0,3,male,26.50758893,8,2,69.55,Southampton,10,20-29
203,0,3,male,34,0,0,6.4958,Southampton,0,30-39
204,0,3,male,45.5,0,0,7.225,Cherbourg,0,40-49
205,1,3,male,18,0,0,8.05,Southampton,0,19-Oct
206,0,3,female,2,0,1,10.4625,Southampton,1,0-9
207,0,3,male,32,1,0,15.85,Southampton,1,30-39
208,1,3,male,26,0,0,18.7875,Cherbourg,0,20-29
209,1,3,female,16,0,0,7.75,Queenstown,0,19-Oct
210,1,1,male,40,0,0,31,Cherbourg,0,40-49
211,0,3,male,24,0,0,7.05,Southampton,0,20-29
212,1,2,female,35,0,0,21,Southampton,0,30-39
213,0,3,male,22,0,0,7.25,Southampton,0,20-29
214,0,2,male,30,0,0,13,Southampton,0,30-39
215,0,3,male,26.50758893,1,0,7.75,Queenstown,1,20-29
216,1,1,female,31,1,0,113.275,Cherbourg,1,30-39
217,1,3,female,27,0,0,7.925,Southampton,0,20-29
218,0,2,male,42,1,0,27,Southampton,1,40-49
219,1,1,female,32,0,0,76.2917,Cherbourg,0,30-39
220,0,2,male,30,0,0,10.5,Southampton,0,30-39
221,1,3,male,16,0,0,8.05,Southampton,0,19-Oct
222,0,2,male,27,0,0,13,Southampton,0,20-29
223,0,3,male,51,0,0,8.05,Southampton,0,50-59
224,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
225,1,1,male,38,1,0,90,Southampton,1,30-39
226,0,3,male,22,0,0,9.35,Southampton,0,20-29
227,1,2,male,19,0,0,10.5,Southampton,0,19-Oct
228,0,3,male,20.5,0,0,7.25,Southampton,0,20-29
229,0,2,male,18,0,0,13,Southampton,0,19-Oct
230,0,3,female,21.75,3,1,25.4667,Southampton,4,20-29
231,1,1,female,35,1,0,83.475,Southampton,1,30-39
232,0,3,male,29,0,0,7.775,Southampton,0,20-29
233,0,2,male,59,0,0,13.5,Southampton,0,50-59
234,1,3,female,5,4,2,31.3875,Southampton,6,0-9
235,0,2,male,24,0,0,10.5,Southampton,0,20-29
236,0,3,female,21.75,0,0,7.55,Southampton,0,20-29
237,0,2,male,44,1,0,26,Southampton,1,40-49
238,1,2,female,8,0,2,26.25,Southampton,2,0-9
239,0,2,male,19,0,0,10.5,Southampton,0,19-Oct
240,0,2,male,33,0,0,12.275,Southampton,0,30-39
241,0,3,female,21.75,1,0,14.4542,Cherbourg,1,20-29
242,1,3,female,21.75,1,0,15.5,Queenstown,1,20-29
243,0,2,male,29,0,0,10.5,Southampton,0,20-29
244,0,3,male,22,0,0,7.125,Southampton,0,20-29
245,0,3,male,30,0,0,7.225,Cherbourg,0,30-39
246,0,1,male,44,2,0,90,Queenstown,2,40-49
247,0,3,female,25,0,0,7.775,Southampton,0,20-29
248,1,2,female,24,0,2,14.5,Southampton,2,20-29
249,1,1,male,37,1,1,52.5542,Southampton,2,30-39
250,0,2,male,54,1,0,26,Southampton,1,50-59
251,0,3,male,26.50758893,0,0,7.25,Southampton,0,20-29
252,0,3,female,29,1,1,10.4625,Southampton,2,20-29
253,0,1,male,62,0,0,26.55,Southampton,0,60-69
254,0,3,male,30,1,0,16.1,Southampton,1,30-39
255,0,3,female,41,0,2,20.2125,Southampton,2,40-49
256,1,3,female,29,0,2,15.2458,Cherbourg,2,20-29
257,1,1,female,34.61176471,0,0,79.2,Cherbourg,0,30-39
258,1,1,female,30,0,0,86.5,Southampton,0,30-39
259,1,1,female,35,0,0,512.3292,Cherbourg,0,30-39
260,1,2,female,50,0,1,26,Southampton,1,50-59
261,0,3,male,26.50758893,0,0,7.75,Queenstown,0,20-29
262,1,3,male,3,4,2,31.3875,Southampton,6,0-9
263,0,1,male,52,1,1,79.65,Southampton,2,50-59
264,0,1,male,40,0,0,0,Southampton,0,40-49
265,0,3,female,21.75,0,0,7.75,Queenstown,0,20-29
266,0,2,male,36,0,0,10.5,Southampton,0,30-39
267,0,3,male,16,4,1,39.6875,Southampton,5,19-Oct
268,1,3,male,25,1,0,7.775,Southampton,1,20-29
269,1,1,female,58,0,1,153.4625,Southampton,1,50-59
270,1,1,female,35,0,0,135.6333,Southampton,0,30-39
271,0,1,male,41.28138614,0,0,31,Southampton,0,40-49
272,1,3,male,25,0,0,0,Southampton,0,20-29
273,1,2,female,41,0,1,19.5,Southampton,1,40-49
274,0,1,male,37,0,1,29.7,Cherbourg,1,30-39
275,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
276,1,1,female,63,1,0,77.9583,Southampton,1,60-69
277,0,3,female,45,0,0,7.75,Southampton,0,40-49
278,0,2,male,30.74070707,0,0,0,Southampton,0,30-39
279,0,3,male,7,4,1,29.125,Queenstown,5,0-9
280,1,3,female,35,1,1,20.25,Southampton,2,30-39
281,0,3,male,65,0,0,7.75,Queenstown,0,60-69
282,0,3,male,28,0,0,7.8542,Southampton,0,20-29
283,0,3,male,16,0,0,9.5,Southampton,0,19-Oct
284,1,3,male,19,0,0,8.05,Southampton,0,19-Oct
285,0,1,male,41.28138614,0,0,26,Southampton,0,40-49
286,0,3,male,33,0,0,8.6625,Cherbourg,0,30-39
287,1,3,male,30,0,0,9.5,Southampton,0,30-39
288,0,3,male,22,0,0,7.8958,Southampton,0,20-29
289,1,2,male,42,0,0,13,Southampton,0,40-49
290,1,3,female,22,0,0,7.75,Queenstown,0,20-29
291,1,1,female,26,0,0,78.85,Southampton,0,20-29
292,1,1,female,19,1,0,91.0792,Cherbourg,1,19-Oct
293,0,2,male,36,0,0,12.875,Cherbourg,0,30-39
294,0,3,female,24,0,0,8.85,Southampton,0,20-29
295,0,3,male,24,0,0,7.8958,Southampton,0,20-29
296,0,1,male,41.28138614,0,0,27.7208,Cherbourg,0,40-49
297,0,3,male,23.5,0,0,7.2292,Cherbourg,0,20-29
298,0,1,female,2,1,2,151.55,Southampton,3,0-9
299,1,1,male,41.28138614,0,0,30.5,Southampton,0,40-49
300,1,1,female,50,0,1,247.5208,Cherbourg,1,50-59
301,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
302,1,3,male,26.50758893,2,0,23.25,Queenstown,2,20-29
303,0,3,male,19,0,0,0,Southampton,0,19-Oct
304,1,2,female,28.72297297,0,0,12.35,Queenstown,0,20-29
305,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
306,1,1,male,0.92,1,2,151.55,Southampton,3,0-9
307,1,1,female,34.61176471,0,0,110.8833,Cherbourg,0,30-39
308,1,1,female,17,1,0,108.9,Cherbourg,1,19-Oct
309,0,2,male,30,1,0,24,Cherbourg,1,30-39
310,1,1,female,30,0,0,56.9292,Cherbourg,0,30-39
311,1,1,female,24,0,0,83.1583,Cherbourg,0,20-29
312,1,1,female,18,2,2,262.375,Cherbourg,4,19-Oct
313,0,2,female,26,1,1,26,Southampton,2,20-29
314,0,3,male,28,0,0,7.8958,Southampton,0,20-29
315,0,2,male,43,1,1,26.25,Southampton,2,40-49
316,1,3,female,26,0,0,7.8542,Southampton,0,20-29
317,1,2,female,24,1,0,26,Southampton,1,20-29
318,0,2,male,54,0,0,14,Southampton,0,50-59
319,1,1,female,31,0,2,164.8667,Southampton,2,30-39
320,1,1,female,40,1,1,134.5,Cherbourg,2,40-49
321,0,3,male,22,0,0,7.25,Southampton,0,20-29
322,0,3,male,27,0,0,7.8958,Southampton,0,20-29
323,1,2,female,30,0,0,12.35,Queenstown,0,30-39
324,1,2,female,22,1,1,29,Southampton,2,20-29
325,0,3,male,26.50758893,8,2,69.55,Southampton,10,20-29
326,1,1,female,36,0,0,135.6333,Cherbourg,0,30-39
327,0,3,male,61,0,0,6.2375,Southampton,0,60-69
328,1,2,female,36,0,0,13,Southampton,0,30-39
329,1,3,female,31,1,1,20.525,Southampton,2,30-39
330,1,1,female,16,0,1,57.9792,Cherbourg,1,19-Oct
331,1,3,female,21.75,2,0,23.25,Queenstown,2,20-29
332,0,1,male,45.5,0,0,28.5,Southampton,0,40-49
333,0,1,male,38,0,1,153.4625,Southampton,1,30-39
334,0,3,male,16,2,0,18,Southampton,2,19-Oct
335,1,1,female,34.61176471,1,0,133.65,Southampton,1,30-39
336,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
337,0,1,male,29,1,0,66.6,Southampton,1,20-29
338,1,1,female,41,0,0,134.5,Cherbourg,0,40-49
339,1,3,male,45,0,0,8.05,Southampton,0,40-49
340,0,1,male,45,0,0,35.5,Southampton,0,40-49
341,1,2,male,2,1,1,26,Southampton,2,0-9
342,1,1,female,24,3,2,263,Southampton,5,20-29
343,0,2,male,28,0,0,13,Southampton,0,20-29
344,0,2,male,25,0,0,13,Southampton,0,20-29
345,0,2,male,36,0,0,13,Southampton,0,30-39
346,1,2,female,24,0,0,13,Southampton,0,20-29
347,1,2,female,40,0,0,13,Southampton,0,40-49
348,1,3,female,21.75,1,0,16.1,Southampton,1,20-29
349,1,3,male,3,1,1,15.9,Southampton,2,0-9
350,0,3,male,42,0,0,8.6625,Southampton,0,40-49
351,0,3,male,23,0,0,9.225,Southampton,0,20-29
352,0,1,male,41.28138614,0,0,35,Southampton,0,40-49
353,0,3,male,15,1,1,7.2292,Cherbourg,2,19-Oct
354,0,3,male,25,1,0,17.8,Southampton,1,20-29
355,0,3,male,26.50758893,0,0,7.225,Cherbourg,0,20-29
356,0,3,male,28,0,0,9.5,Southampton,0,20-29
357,1,1,female,22,0,1,55,Southampton,1,20-29
358,0,2,female,38,0,0,13,Southampton,0,30-39
359,1,3,female,21.75,0,0,7.8792,Queenstown,0,20-29
360,1,3,female,21.75,0,0,7.8792,Queenstown,0,20-29
361,0,3,male,40,1,4,27.9,Southampton,5,40-49
362,0,2,male,29,1,0,27.7208,Cherbourg,1,20-29
363,0,3,female,45,0,1,14.4542,Cherbourg,1,40-49
364,0,3,male,35,0,0,7.05,Southampton,0,30-39
365,0,3,male,26.50758893,1,0,15.5,Queenstown,1,20-29
366,0,3,male,30,0,0,7.25,Southampton,0,30-39
367,1,1,female,60,1,0,75.25,Cherbourg,1,60-69
368,1,3,female,21.75,0,0,7.2292,Cherbourg,0,20-29
369,1,3,female,21.75,0,0,7.75,Queenstown,0,20-29
370,1,1,female,24,0,0,69.3,Cherbourg,0,20-29
371,1,1,male,25,1,0,55.4417,Cherbourg,1,20-29
372,0,3,male,18,1,0,6.4958,Southampton,1,19-Oct
373,0,3,male,19,0,0,8.05,Southampton,0,19-Oct
374,0,1,male,22,0,0,135.6333,Cherbourg,0,20-29
375,0,3,female,3,3,1,21.075,Southampton,4,0-9
376,1,1,female,34.61176471,1,0,82.1708,Cherbourg,1,30-39
377,1,3,female,22,0,0,7.25,Southampton,0,20-29
378,0,1,male,27,0,2,211.5,Cherbourg,2,20-29
379,0,3,male,20,0,0,4.0125,Cherbourg,0,20-29
380,0,3,male,19,0,0,7.775,Southampton,0,19-Oct
381,1,1,female,42,0,0,227.525,Cherbourg,0,40-49
382,1,3,female,1,0,2,15.7417,Cherbourg,2,0-9
383,0,3,male,32,0,0,7.925,Southampton,0,30-39
384,1,1,female,35,1,0,52,Southampton,1,30-39
385,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
386,0,2,male,18,0,0,73.5,Southampton,0,19-Oct
387,0,3,male,1,5,2,46.9,Southampton,7,0-9
388,1,2,female,36,0,0,13,Southampton,0,30-39
389,0,3,male,26.50758893,0,0,7.7292,Queenstown,0,20-29
390,1,2,female,17,0,0,12,Cherbourg,0,19-Oct
391,1,1,male,36,1,2,120,Southampton,3,30-39
392,1,3,male,21,0,0,7.7958,Southampton,0,20-29
393,0,3,male,28,2,0,7.925,Southampton,2,20-29
394,1,1,female,23,1,0,113.275,Cherbourg,1,20-29
395,1,3,female,24,0,2,16.7,Southampton,2,20-29
396,0,3,male,22,0,0,7.7958,Southampton,0,20-29
397,0,3,female,31,0,0,7.8542,Southampton,0,30-39
398,0,2,male,46,0,0,26,Southampton,0,40-49
399,0,2,male,23,0,0,10.5,Southampton,0,20-29
400,1,2,female,28,0,0,12.65,Southampton,0,20-29
401,1,3,male,39,0,0,7.925,Southampton,0,30-39
402,0,3,male,26,0,0,8.05,Southampton,0,20-29
403,0,3,female,21,1,0,9.825,Southampton,1,20-29
404,0,3,male,28,1,0,15.85,Southampton,1,20-29
405,0,3,female,20,0,0,8.6625,Southampton,0,20-29
406,0,2,male,34,1,0,21,Southampton,1,30-39
407,0,3,male,51,0,0,7.75,Southampton,0,50-59
408,1,2,male,3,1,1,18.75,Southampton,2,0-9
409,0,3,male,21,0,0,7.775,Southampton,0,20-29
410,0,3,female,21.75,3,1,25.4667,Southampton,4,20-29
411,0,3,male,26.50758893,0,0,7.8958,Southampton,0,20-29
412,0,3,male,26.50758893,0,0,6.8583,Queenstown,0,20-29
413,1,1,female,33,1,0,90,Queenstown,1,30-39
414,0,2,male,30.74070707,0,0,0,Southampton,0,30-39
415,1,3,male,44,0,0,7.925,Southampton,0,40-49
416,0,3,female,21.75,0,0,8.05,Southampton,0,20-29
417,1,2,female,34,1,1,32.5,Southampton,2,30-39
418,1,2,female,18,0,2,13,Southampton,2,19-Oct
419,0,2,male,30,0,0,13,Southampton,0,30-39
420,0,3,female,10,0,2,24.15,Southampton,2,19-Oct
421,0,3,male,26.50758893,0,0,7.8958,Cherbourg,0,20-29
422,0,3,male,21,0,0,7.7333,Queenstown,0,20-29
423,0,3,male,29,0,0,7.875,Southampton,0,20-29
424,0,3,female,28,1,1,14.4,Southampton,2,20-29
425,0,3,male,18,1,1,20.2125,Southampton,2,19-Oct
426,0,3,male,26.50758893,0,0,7.25,Southampton,0,20-29
427,1,2,female,28,1,0,26,Southampton,1,20-29
428,1,2,female,19,0,0,26,Southampton,0,19-Oct
429,0,3,male,26.50758893,0,0,7.75,Queenstown,0,20-29
430,1,3,male,32,0,0,8.05,Southampton,0,30-39
431,1,1,male,28,0,0,26.55,Southampton,0,20-29
432,1,3,female,21.75,1,0,16.1,Southampton,1,20-29
433,1,2,female,42,1,0,26,Southampton,1,40-49
434,0,3,male,17,0,0,7.125,Southampton,0,19-Oct
435,0,1,male,50,1,0,55.9,Southampton,1,50-59
436,1,1,female,14,1,2,120,Southampton,3,19-Oct
437,0,3,female,21,2,2,34.375,Southampton,4,20-29
438,1,2,female,24,2,3,18.75,Southampton,5,20-29
439,0,1,male,64,1,4,263,Southampton,5,60-69
440,0,2,male,31,0,0,10.5,Southampton,0,30-39
441,1,2,female,45,1,1,26.25,Southampton,2,40-49
442,0,3,male,20,0,0,9.5,Southampton,0,20-29
443,0,3,male,25,1,0,7.775,Southampton,1,20-29
444,1,2,female,28,0,0,13,Southampton,0,20-29
445,1,3,male,26.50758893,0,0,8.1125,Southampton,0,20-29
446,1,1,male,4,0,2,81.8583,Southampton,2,0-9
447,1,2,female,13,0,1,19.5,Southampton,1,19-Oct
448,1,1,male,34,0,0,26.55,Southampton,0,30-39
449,1,3,female,5,2,1,19.2583,Cherbourg,3,0-9
450,1,1,male,52,0,0,30.5,Southampton,0,50-59
451,0,2,male,36,1,2,27.75,Southampton,3,30-39
452,0,3,male,26.50758893,1,0,19.9667,Southampton,1,20-29
453,0,1,male,30,0,0,27.75,Cherbourg,0,30-39
454,1,1,male,49,1,0,89.1042,Cherbourg,1,40-49
455,0,3,male,26.50758893,0,0,8.05,Southampton,0,20-29
456,1,3,male,29,0,0,7.8958,Cherbourg,0,20-29
457,0,1,male,65,0,0,26.55,Southampton,0,60-69
